 INFO | 2016-06-21 19:50:55,577 | Common.java | 79 | Startup activites...
 INFO | 2016-06-21 19:50:55,577 | Common.java | 79 | Test Output Directory creation successful :D:\Prakashs_Backup\DemoWorkspaceFinal\SWAUT_Grid_New\TestResults\2016_06_21_07_50_55_PM
 INFO | 2016-06-21 19:50:55,577 | Common.java | 79 | Log File creation successful : LogFile.log
 INFO | 2016-06-21 19:50:59,016 | Common.java | 79 | Report step generation success : openBrowser start
 INFO | 2016-06-21 19:50:59,016 | Common.java | 79 | Report step generation success : openBrowser start
 INFO | 2016-06-21 19:51:05,706 | Common.java | 79 | Element time out set
 INFO | 2016-06-21 19:51:05,706 | Common.java | 79 | ##### Start of Test Case : VERIFY_LOGIN #####
 WARN | 2016-06-21 19:51:05,707 | Common.java | 83 | Report step generation success : Desktop3<B></B><h1><font color=SaddleBrown>VERIFY_LOGIN</h1></font><br/>
 INFO | 2016-06-21 19:51:05,806 | Common.java | 79 | Test Data Set Name: TC1
 INFO | 2016-06-21 19:51:05,806 | Common.java | 79 | Execution Flag: Execute
 INFO | 2016-06-21 19:51:05,807 | Common.java | 79 | Test Data Set Name: TC1_001
 INFO | 2016-06-21 19:51:05,807 | Common.java | 79 | Execution Flag: YES
 INFO | 2016-06-21 19:51:05,807 | Common.java | 79 | Test Data Set Name: 
 INFO | 2016-06-21 19:51:05,807 | Common.java | 79 | Execution Flag: 
 INFO | 2016-06-21 19:51:05,807 | Common.java | 79 | ########### Start of Test Case Data Set: TC1_001 ###########
 INFO | 2016-06-21 19:51:05,807 | Common.java | 79 | Report step generation success : ########### Start of Test Case Data Set: TC1_001 ###########
 INFO | 2016-06-21 19:51:06,163 | Common.java | 79 | Desktop3Entered UserName-> Shivaraj
 INFO | 2016-06-21 19:51:06,164 | Common.java | 79 | Report step generation success : Desktop3Entered UserName-> Shivaraj
 INFO | 2016-06-21 19:51:06,451 | Common.java | 79 | Desktop3Entered Password-> Reset123
 INFO | 2016-06-21 19:51:06,451 | Common.java | 79 | Report step generation success : Desktop3Entered Password-> Reset123
 INFO | 2016-06-21 19:51:06,452 | Common.java | 79 | Desktop3Entered Username and Password
 INFO | 2016-06-21 19:51:06,452 | Common.java | 79 | Report step generation success : Desktop3Entered Username and Password
 INFO | 2016-06-21 19:51:08,866 | Common.java | 79 | Desktop3Clicked On SignIn button
 INFO | 2016-06-21 19:51:08,866 | Common.java | 79 | Report step generation success : Desktop3Clicked On SignIn button
 INFO | 2016-06-21 19:51:09,003 | Common.java | 79 | Desktop3Logged into the Application succesfully
 INFO | 2016-06-21 19:51:09,003 | Common.java | 79 | Report step generation success : Desktop3Logged into the Application succesfully
 INFO | 2016-06-21 19:51:09,956 | Common.java | 79 | Element time out set
 INFO | 2016-06-21 19:51:09,956 | Common.java | 79 | ##### Start of Test Case : VERIFY_LOGIN #####
 WARN | 2016-06-21 19:51:09,956 | Common.java | 83 | Report step generation success : Desktop2<B></B><h1><font color=SaddleBrown>VERIFY_LOGIN</h1></font><br/>
 INFO | 2016-06-21 19:51:10,037 | Common.java | 79 | Test Data Set Name: TC2
 INFO | 2016-06-21 19:51:10,037 | Common.java | 79 | Execution Flag: Execute
 INFO | 2016-06-21 19:51:10,037 | Common.java | 79 | Test Data Set Name: TC2_001
 INFO | 2016-06-21 19:51:10,037 | Common.java | 79 | Execution Flag: YES
 INFO | 2016-06-21 19:51:10,037 | Common.java | 79 | Test Data Set Name: 
 INFO | 2016-06-21 19:51:10,037 | Common.java | 79 | Execution Flag: 
 INFO | 2016-06-21 19:51:10,037 | Common.java | 79 | ########### Start of Test Case Data Set: TC1_001 ###########
 INFO | 2016-06-21 19:51:10,037 | Common.java | 79 | Report step generation success : ########### Start of Test Case Data Set: TC1_001 ###########
 INFO | 2016-06-21 19:51:10,116 | Common.java | 79 | Desktop2Entered UserName-> Shivaraj
 INFO | 2016-06-21 19:51:10,117 | Common.java | 79 | Report step generation success : Desktop2Entered UserName-> Shivaraj
 INFO | 2016-06-21 19:51:10,183 | Common.java | 79 | Desktop2Entered Password-> Reset123
 INFO | 2016-06-21 19:51:10,183 | Common.java | 79 | Report step generation success : Desktop2Entered Password-> Reset123
 INFO | 2016-06-21 19:51:10,183 | Common.java | 79 | Desktop2Entered Username and Password
 INFO | 2016-06-21 19:51:10,183 | Common.java | 79 | Report step generation success : Desktop2Entered Username and Password
